average_speed|distance|elapsed_time|elev_high|elev_low|hashed_id|max_speed|moving_time|total_elevation_gain|age_0.0|age_1.0|age_2.0|trainer_onehot|workout_type_10.0|workout_type_11.0|workout_type_12.0|weekday_Friday|weekday_Monday|weekday_Saturday|weekday_Sunday|weekday_Thursday|weekday_Tuesday|weekday_Wednesday|daypart_afternoon|daypart_dawn|daypart_evening|daypart_forenoon|daypart_morning|daypart_night
7.516|311063.0|51169.0|310.8|73.6|4348472.0|19.1|41386.0|1486.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0
7.33|19365.0|2732.0|221.4|162.4|4348472.0|14.5|2642.0|116.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.239|29303.4|4972.0|244.0|150.0|4348472.0|11.9|4697.0|128.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
6.0729999999999995|40575.7|12489.0|246.6|149.8|4348472.0|11.5|6681.0|269.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
7.017|25052.4|3608.0|193.0|132.6|4348472.0|12.8|3570.0|44.0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.8870000000000005|29221.6|6169.0|200.8|107.0|4348472.0|11.0|4964.0|172.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.906000000000001|25042.1|3752.0|146.6|81.6|4348472.0|10.2|3626.0|45.0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
6.656000000000001|29241.7|5252.0|175.8|0.0|4348472.0|13.1|4393.0|162.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
7.151|24964.6|3843.0|154.0|0.0|4348472.0|10.4|3491.0|45.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
6.355|27707.0|4360.0|186.6|104.2|4348472.0|11.2|4360.0|151.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
